show_id,title,country,release year,locations
70044605,The Pursuit of Happyness,United States,2006,Glen Park Subway Station
70044605,The Pursuit of Happyness,United States,2006,Glide Memorial Church (434 Ellis St)
70044605,The Pursuit of Happyness,United States,2006,Candlestick Park (602 Jamestown Ave.)
70044605,The Pursuit of Happyness,United States,2006,Golden Gate Park Children's Playground 
70044605,The Pursuit of Happyness,United States,2006,Glen Park Subway Station
70044605,The Pursuit of Happyness,United States,2006,Glide Memorial Church (434 Ellis St)
70044605,The Pursuit of Happyness,United States,2006,Candlestick Park (602 Jamestown Ave.)
70044605,The Pursuit of Happyness,United States,2006,Golden Gate Park Children's Playground
70039187,"Yours, Mine and Ours",United States,1968,
70039187,"Yours, Mine and Ours",United States,1968,
70044686,Zodiac,United States,2007,SF Chronicle Building (901 Mission St)
70044686,Zodiac,United States,2007,SF Chronicle Building (901 Mission St)
1178866,The Game,United States,1997,Merchant Exchange Building (465 California Street)
1178866,The Game,United States,1997,Washington Street & Waverly Place (Chinatown)
1178866,The Game,United States,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)"
1178866,The Game,United States,1997,Sheraton Palace Hotel (639 Market Street)
1178866,The Game,United States,1997,Ritz-Carlton Hotel (600 Stockton Street)
1178866,The Game,United States,1997,Presidio (Golden Gate National Recreation Area)
1178866,The Game,United States,1997,Merchant Exchange Building
1178866,The Game,United States,1997,Mason & California Streets (Nob Hill)
1178866,The Game,United States,1997,Harrison Street (The Embarcadero)
1178866,The Game,United States,1997,City Club (155 Sansome Street)
1178866,The Game,United States,1997,Bay Bridge
1178866,The Game,United States,1997,Bank of America Building (555 California Street)
1178866,The Game,United States,1997,301 Howard Street
1178866,The Game,United States,1997,1 Bush Street
1178866,The Game,United States,1997,Merchant Exchange Building (465 California Street)
1178866,The Game,United States,1997,Washington Street & Waverly Place (Chinatown)
1178866,The Game,United States,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)"
1178866,The Game,United States,1997,Sheraton Palace Hotel (639 Market Street)
1178866,The Game,United States,1997,Ritz-Carlton Hotel (600 Stockton Street)
1178866,The Game,United States,1997,Presidio (Golden Gate National Recreation Area)
1178866,The Game,United States,1997,Merchant Exchange Building
1178866,The Game,United States,1997,Mason & California Streets (Nob Hill)
1178866,The Game,United States,1997,Harrison Street (The Embarcadero)
1178866,The Game,United States,1997,City Club (155 Sansome Street)
1178866,The Game,United States,1997,Bay Bridge
1178866,The Game,United States,1997,Bank of America Building (555 California Street)
1178866,The Game,United States,1997,301 Howard Street
1178866,The Game,United States,1997,1 Bush Street
20557937,The Matrix,United States,1999,skyline/ exterior scenes
20557937,The Matrix,United States,1999,skyline/ exterior scenes
80202874,Always Be My Maybe,United States,2019,Golden Gate Music Concourse
80202874,Always Be My Maybe,United States,2019,de Young Museum/Golden Gate Park
80202874,Always Be My Maybe,United States,2019,Heart of the City Farmers Market at UN Plaza
80202874,Always Be My Maybe,United States,2019,Palace of Fine Arts (3301 Lyon Street)
80202874,Always Be My Maybe,United States,2019,717 Grant Ave
80202874,Always Be My Maybe,United States,2019,Kearny btwn Columbus and Washington
80202874,Always Be My Maybe,United States,2019,"Fort Point (Presidio, Golden Gate National Recreation Area)"
80202874,Always Be My Maybe,United States,2019,California Cable Car Line
80202874,Always Be My Maybe,United States,2019,Haight St at Masonic
80202874,Always Be My Maybe,United States,2019,"Trax Bar, Haight St"
80202874,Always Be My Maybe,United States,2019,Pier 7
80202874,Always Be My Maybe,United States,2019,Pier 45 - Musee Mechanique
80202874,Always Be My Maybe,United States,2019,19th Ave Home
80202874,Always Be My Maybe,United States,2019,22nd Ave Home
80202874,Always Be My Maybe,United States,2019,Contemporary Jewish Museum
80202874,Always Be My Maybe,United States,2019,Fairmont Hotel - Penthouse Suite
80202874,Always Be My Maybe,United States,2019,26th Ave and El Camino Del mar
70270362,Blue Jasmine,United States,2013,Jones & Pacific
70270362,Blue Jasmine,United States,2013,Pacific & Divisadero
70270362,Blue Jasmine,United States,2013,Lombard & Hyde
70270362,Blue Jasmine,United States,2013,5546 Geary Ave
70270362,Blue Jasmine,United States,2013,2898 Broadway
70270362,Blue Jasmine,United States,2013,Motel Capri
70270362,Blue Jasmine,United States,2013,Marina Green
70270362,Blue Jasmine,United States,2013,Ocean Beach at Lincoln
70270362,Blue Jasmine,United States,2013,Heald College
70270362,Blue Jasmine,United States,2013,Marina Blvd from Laguna to Baker
70270362,Blue Jasmine,United States,2013,330 Santa Clara Ave.
70270362,Blue Jasmine,United States,2013,200 Post St. 
70270362,Blue Jasmine,United States,2013,2179 48th Ave
70270362,Blue Jasmine,United States,2013,The Ramp Restaurant
70270362,Blue Jasmine,United States,2013,303-305 S. Van Ness
70270362,Blue Jasmine,United States,2013,3563 20th St.
70270362,Blue Jasmine,United States,2013,Taylor & Green St.
70270362,Blue Jasmine,United States,2013,Grant & Washington St.
70270362,Blue Jasmine,United States,2013,2934 24th St.
70270362,Blue Jasmine,United States,2013,1138 Alabama St
70270362,Blue Jasmine,United States,2013,South Park
70270362,Blue Jasmine,United States,2013,2915 16th St.
70270362,Blue Jasmine,United States,2013,Trolley Car from Market and 11th
70270362,Blue Jasmine,United States,2013,Real Guitars
70270362,Blue Jasmine,United States,2013,Aub Zam Zam Bar
70270362,Blue Jasmine,United States,2013,790 Ulloa 
70270362,Blue Jasmine,United States,2013,SFO International Airport Terminal 3
70270362,Blue Jasmine,United States,2013,2178 Palou Ave.
70270362,Blue Jasmine,United States,2013,Jones & Pacific
70270362,Blue Jasmine,United States,2013,Pacific & Divisadero
70270362,Blue Jasmine,United States,2013,Lombard & Hyde
70270362,Blue Jasmine,United States,2013,5546 Geary Ave
70270362,Blue Jasmine,United States,2013,2898 Broadway
70270362,Blue Jasmine,United States,2013,Motel Capri
70270362,Blue Jasmine,United States,2013,Marina Green
70270362,Blue Jasmine,United States,2013,Ocean Beach at Lincoln
70270362,Blue Jasmine,United States,2013,Heald College
70270362,Blue Jasmine,United States,2013,Marina Blvd from Laguna to Baker
70270362,Blue Jasmine,United States,2013,330 Santa Clara Ave.
70270362,Blue Jasmine,United States,2013,200 Post St.
70270362,Blue Jasmine,United States,2013,2179 48th Ave
70270362,Blue Jasmine,United States,2013,The Ramp Restaurant
70270362,Blue Jasmine,United States,2013,303-305 S. Van Ness
70270362,Blue Jasmine,United States,2013,3563 20th St.
70270362,Blue Jasmine,United States,2013,Taylor & Green St.
70270362,Blue Jasmine,United States,2013,Grant & Washington St.
70270362,Blue Jasmine,United States,2013,2934 24th St.
70270362,Blue Jasmine,United States,2013,1138 Alabama St
70270362,Blue Jasmine,United States,2013,South Park
70270362,Blue Jasmine,United States,2013,2915 16th St.
70270362,Blue Jasmine,United States,2013,Trolley Car from Market and 11th
70270362,Blue Jasmine,United States,2013,Real Guitars
70270362,Blue Jasmine,United States,2013,Aub Zam Zam Bar
70270362,Blue Jasmine,United States,2013,790 Ulloa
70270362,Blue Jasmine,United States,2013,SFO International Airport Terminal 3
70270362,Blue Jasmine,United States,2013,2178 Palou Ave.
80211563,Tales of the City,United States,2019,Macondray Ln and Taylor btwn Union and Green
80211563,Tales of the City,United States,2019,Lyon and Broadway
80211563,Tales of the City,United States,2019,"Hotel Jefferson, 440 Eddy St"
80211563,Tales of the City,United States,2019,Hyde St and Lombard St to Larkin and Lombard
80211563,Tales of the City,United States,2019,Market and Noe St
80211563,Tales of the City,United States,2019,Market and Church St
80211563,Tales of the City,United States,2019,Castro and 18th St
80211563,Tales of the City,United States,2019,Castro District
80211563,Tales of the City,United States,2019,Dolores Park
80211563,Tales of the City,United States,2019,"City Lights Books, 261 Columbus Ave"
80211563,Tales of the City,United States,2019,Montgomery and Vallejo
80211563,Tales of the City,United States,2019,Green btwn Jasper and Bannam
80211563,Tales of the City,United States,2019,Valencia btwn 16th and 17th St
80211563,Tales of the City,United States,2019,North Beach
80211563,Tales of the City,United States,2019,766 Vallejo St
80211563,Tales of the City,United States,2019,Grant and Green St
80211563,Tales of the City,United States,2019,Clarion Alley
80211563,Tales of the City,United States,2019,Valencia btwn Liberty and 21st St
80211563,Tales of the City,United States,2019,Mission District
80161640,I Am Michael,United States,2015,Flint & 16th (Castro)
80161640,I Am Michael,United States,2015,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"
80161640,I Am Michael,United States,2015,Ocean Beach @ Balboa
80161640,I Am Michael,United States,2015,4100 20th St
80161640,I Am Michael,United States,2015,Harvey Milk Plaza
80161640,I Am Michael,United States,2015,F Train
80161640,I Am Michael,United States,2015,Sanchez/Cumberland steps and sidewalks
80161640,I Am Michael,United States,2015,Flint & 16th (Castro)
80161640,I Am Michael,United States,2015,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"
80161640,I Am Michael,United States,2015,Ocean Beach @ Balboa
80161640,I Am Michael,United States,2015,4100 20th St
80161640,I Am Michael,United States,2015,Harvey Milk Plaza
80161640,I Am Michael,United States,2015,F Train
80161640,I Am Michael,United States,2015,Sanchez/Cumberland steps and sidewalks
80225024,The Competition,United States,1980,Pier 39
80225024,The Competition,United States,1980,California Academy of Sciences (Golden Gate Park)
80225024,The Competition,United States,1980,Pier 39
80225024,The Competition,United States,1980,California Academy of Sciences (Golden Gate Park)
80220813,Ant-Man and the Wasp,United States,2018,490 Geary St
80220813,Ant-Man and the Wasp,United States,2018,544 Jones
80220813,Ant-Man and the Wasp,United States,2018,Missouri St at 18th St
80220813,Ant-Man and the Wasp,United States,2018,Telegraph Hill/North Beach
80220813,Ant-Man and the Wasp,United States,2018,Financial District
80220813,Ant-Man and the Wasp,United States,2018,Russian Hill
80220813,Ant-Man and the Wasp,United States,2018,Jones St btwn Sacramento and Pine
80220813,Ant-Man and the Wasp,United States,2018,California St btwn Mason and Leavenworth
80220813,Ant-Man and the Wasp,United States,2018,Montgomery btwn Green and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Bush St at Mason St
80220813,Ant-Man and the Wasp,United States,2018,Lombard St btwn Polk and Leavenworth
80220813,Ant-Man and the Wasp,United States,2018,Jones St btwn Green and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Vallejo St btwn Montgomery and Davis
80220813,Ant-Man and the Wasp,United States,2018,Java St
80220813,Ant-Man and the Wasp,United States,2018,Little Embarcadero btwn Powell and Mason
80220813,Ant-Man and the Wasp,United States,2018,Powell St btwn North Point and Embarcadero
80220813,Ant-Man and the Wasp,United States,2018,Pier 27
80220813,Ant-Man and the Wasp,United States,2018,Jefferson St at Taylor St
80220813,Ant-Man and the Wasp,United States,2018,Laguna St btwn Jackson and Broadway
80220813,Ant-Man and the Wasp,United States,2018,Montgomery btwn Broadway and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Geary St - Hyde St - Ellis St
80220813,Ant-Man and the Wasp,United States,2018,Saint Louis Alley at Jackson
80220813,Ant-Man and the Wasp,United States,2018,Leavenworth St at Lombard St
80220813,Ant-Man and the Wasp,United States,2018,"Westar Marine Services, Pier 50"
70244163,The Master,United States,2012,Pier 7/ Embarcadero
70244163,The Master,United States,2012,Pier 7/ Embarcadero
60010487,Indiana Jones and the Last Crusade,United States,1989,Administration Building (Treasure Island)
60010487,Indiana Jones and the Last Crusade,United States,1989,Administration Building (Treasure Island)
60031284,Mona Lisa Smile,United States,2003,
60031284,Mona Lisa Smile,United States,2003,
70100084,Milk,United States,2008,Duboce Park
70100084,Milk,United States,2008,City Hall
